,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log_pvalue,log_padj
Zfp36,355.8113443171274,-0.8203077755598874,0.16943196833079396,-4.841517121245636,1.2885157134837445e-06,0.00015410647933265583,13.562019611752765,8.777866770236233
Spint2,53.50580798401359,-0.8099426017110088,0.1960728534354127,-4.130824780278967,3.614640223174563e-05,0.0023278283037244185,10.227933137638814,6.062819504528506
Ppp1r14a,60.66547345470841,-0.8520235964885315,0.19278489384717704,-4.419555803806605,9.890398067643733e-06,0.0007961770444453205,11.52394616363067,7.1356889792061535
Sipa1l3,100.11433997878386,0.5036786665480519,0.16098787157961286,3.1286746113602053,0.0017559664412720262,0.03878878904044697,6.344735894844751,3.2496240163612873
Nfkbid,47.86719972189275,-1.0451570533396426,0.1925430220807329,-5.428174140226232,5.693347694324692e-08,9.532941379377263e-06,16.681382321840864,11.560757243703119
Klk1,37.94275685718695,-1.658925498430746,0.5265510132053328,-3.1505503870027396,0.00162963144357161,0.03707411534125413,6.4194013979680635,3.2948362525711046
Ftl1,1462.6508362475736,-0.5553080659733536,0.12447747805795356,-4.461112762220457,8.153517115865361e-06,0.0006788610484291991,11.717061175842602,7.295094092836165
Dlg2,87.1535019173541,-1.2207723200188145,0.33166171378920317,-3.6807755289919006,0.0002325256431293027,0.009782435599389558,8.366510045989433,4.6271667871480355
Acer3,149.78460067992762,0.5617522361133231,0.1543163919243896,3.640262898244568,0.00027235980966100763,0.010858077745152172,8.20838653620051,4.522845983352088
Hbb-bt,12.777231583826767,2.6669349258956663,0.6044345421451138,4.412280801211032,1.0228733208457256e-05,0.0008155709944876585,11.490309816708782,7.111622083300415
Trim12a,81.02986136108433,-0.5602635958257454,0.1553381032238531,-3.606736429750054,0.00031007233366743146,0.012074072453319703,8.078704953292252,4.4166948978540255
Ipo7,85.27756743100485,0.5007618998765868,0.15251276048499895,3.283409849012872,0.001025594413934018,0.02775524332975161,6.882482918444899,3.584330507818396
Spon1,14.663162621546242,4.413241347200588,0.7156897255410907,6.16641707950187,6.98546850446132e-10,2.1660126784944507e-07,21.082018866544338,15.345207648982779
Atp2a1,8.738800271650245,-1.8048204823529668,0.5671735944662101,-3.182130656226258,0.0014619584989206402,0.034771353843646595,6.527978304568645,3.3589613966008516
Sept1,36.281624191876354,-0.7588627164369635,0.20648804413996608,-3.675092761896544,0.00023776301212526197,0.009950583275710499,8.344236127751408,4.610124108855338
Cox6a2,67.96532307928794,-1.5042564632586104,0.3920954190375892,-3.836455082670581,0.0001248230130982946,0.0062952907569814595,8.988613719202426,5.067953423993079
Mki67,26.8135191486772,1.17025040817705,0.38075112792063714,3.07353103474187,0.0021154168344643975,0.04394607875467974,6.158503401049421,3.1247918794302136
Ifitm2,186.57417683580692,1.4426125787140855,0.21372625266864118,6.7498145908668326,1.4803420343850764e-11,6.19671175593593e-09,24.936162857544726,18.89924704753283
Ifitm3,571.8934970447609,0.8647454488892554,0.2293731037174396,3.7700385741587166,0.00016322231765663594,0.0076407924556796845,8.72039737443671,4.874253956617325
Insr,44.09637835373744,-0.6882992700450674,0.19627496560785038,-3.5068113139821517,0.0004535106026316543,0.015624653354865061,7.698491909119747,4.158905268894405
Cd209d,64.96727000164658,-1.4200937669525457,0.4314996331404376,-3.2910659891345873,0.000998084972693277,0.027218134825368452,6.9096721422980325,3.603871806319339
Gsr,67.4789684032317,0.6438967185723785,0.17258030753930875,3.7309976309186825,0.0001907230173632856,0.008359859169452498,8.56468835330595,4.784313697786689
Dctn6,31.88790322090586,-0.6573551668910638,0.20553467787183663,-3.1982688940742383,0.0013825529946744322,0.03380944837652066,6.583823492807387,3.3870149777896823
Tmem192,30.117665714665975,-0.8969660545902679,0.25137423765650113,-3.5682497257971106,0.00035937390222908264,0.013254089468995065,7.931147201084225,4.323449134999738
Uba52,127.9369550281221,-0.7572974796883127,0.11917209043863855,-6.3546546586614046,2.0889538207861474e-10,7.286967244842344e-08,22.289187553504984,16.434593300287037
Jund,553.792781056152,-0.7216212305299597,0.12725855751992504,-5.67051241655772,1.4237105053776725e-08,2.979826087755469e-06,18.067414248415517,12.723645618963562
Bst2,451.4582886306553,-1.3633007846613836,0.26632173081022587,-5.118999416659834,3.071609117007515e-07,4.3585612758621896e-05,14.99589408432611,10.040783444665939
Pgls,180.79920424998357,-0.6472880706409911,0.13839168050788075,-4.67721808323681,2.9079294987342376e-06,0.00029331549112533777,12.748069242488459,8.134261766719167
Klf2,198.27915469577306,-0.729602443756421,0.14289066857350163,-5.106018825722831,3.2901692650854554e-07,4.590882847882572e-05,14.927156639150219,9.988853117806428
Inpp4b,209.5372166001999,-0.5782370759786237,0.1616873534798641,-3.5762665634244244,0.00034853626148951064,0.013084957763184678,7.961768282991431,4.336291970885659
Dnajb1,45.3520976095347,1.1273185601005424,0.3125483734562954,3.6068610680457724,0.00030992349227852364,0.012074072453319703,8.07918509004653,4.4166948978540255
Ier2,122.7466425289405,-0.8291141557886889,0.24508379353456108,-3.382982382602011,0.00071703231807582,0.021257758852830662,7.240389644355604,3.8510333277665563
Cdh1,11.60480289707406,-1.7812105871302872,0.5737283436797034,-3.104623654648458,0.0019052127158263226,0.04089856629973839,6.263161614786105,3.196660270343907
