gene,pvalue,baseMean,log2FoldChange,lfcSE,stat,padj,log_pvalue,log_padj
Il31ra,7.83607340569991e-09,68.93942601121326,1.514237484497114,0.2639744895754112,5.760230092573472,1.6079187291084786e-06,18.6645279691566,13.340569930083975
Ccnl1,3.881609095149525e-09,138.5862668605244,1.091133593903118,0.18651242419826403,5.877509339439958,8.433366584079277e-07,19.367016054037105,13.98589960112453
Jmjd1c,1.743434890106302e-06,371.03218076542896,0.7673972339927277,0.17197651330468577,4.669929733615009,0.000250072884140102,13.259653315889192,8.293758146030145
Gm26532,3.928512341564307e-05,4.340216990638508,4.7640280045373355,1.160216756660164,4.110003162639652,0.003975331598237744,10.144664649795208,5.5276471134148615
Psmb9,4.380517386126944e-05,266.79772768437215,0.6230489260384016,0.1551564619016196,4.063413009567902,0.004343474084740904,10.035758622871528,5.439080770728304
Maff,0.0004026361125384379,10.29242469337774,2.525029734263822,0.7148959758096757,3.5362630101589,0.025976183085776774,7.817477350474137,3.6505751959396937
Ifrd1,3.174850740833973e-22,99.22974499193245,2.491883227632584,0.2599879833961668,9.657901328747394,3.90877040375676e-19,49.501611425390344,42.38589391708966
Prdx6,0.00032395796400489966,82.03282458614683,0.8895772227098988,0.25109600920693065,3.578825547387838,0.021656809774698586,8.034896791314619,3.8324353347436886
Irf4,4.539399891125138e-07,36.49294347208792,1.789125246272618,0.36291777203525044,5.009493283277392,7.535403819267729e-05,14.605300830213505,9.493313041856961
Pmaip1,9.04896013466222e-23,188.4484528865158,2.3958156415893916,0.2492366467505836,9.759587038992532,1.2153576093590878e-19,50.75680729000025,43.55407840470994
Zbtb10,1.5708626676508984e-08,20.59136728376418,3.1705550999807097,0.5646070852730148,5.641109836143683,3.1791678153252566e-06,17.96905580565409,12.658891088713798
Rap1b,3.7595789822584425e-09,267.54358319465064,0.8370661706015131,0.1462694533892618,5.8413830965949884,8.290152221475558e-07,19.398958858617636,14.00302731991992
Gm26885,0.0006076025485596643,7.381626926625633,2.61370872443169,0.7648578933621921,3.424977167789418,0.036789836280411804,7.4059895927819595,3.3025336599864783
Dusp1,8.436427166527426e-17,150.86405442020617,2.4988815019741777,0.31240572902420427,8.223500180585628,5.419120650359835e-14,37.01138768341824,30.54625774125871
Ndel1,5.891522963884278e-05,54.0187561953544,1.127071713965576,0.2815042684233314,4.012774346514174,0.005440085016776646,9.739410933007317,5.21396059015246
Fam117b,1.0204976270347293e-05,76.75425634092053,1.276824753613776,0.2905202530220922,4.4063335554096295,0.0012776976221873808,11.492635087001858,6.66269555337884
Mpp7,2.2073819001566497e-15,27.24251699565316,3.6583754730663345,0.46242010208363443,7.9235559578578005,1.3044744077165738e-12,33.746969242208635,27.365220908988153
Tmem176b,0.00039856233684029923,238.430082545124,-1.0186017334788713,0.29276516156571997,-3.5235811827660357,0.025898773048748745,7.827646643259294,3.6535596840339473
Anxa6,0.00016581989993452585,160.0190151347598,0.6056135577479377,0.16215135870210262,3.7566282721881223,0.012759495841836901,8.704608298734797,4.361479512673895
Neat1,7.21509691272782e-18,305.6305683539812,1.477885406104954,0.1751067589471424,8.558165398338783,5.610307462560043e-15,39.47035604963969,32.81417087071745
Lncpint,4.361353780729004e-09,271.17324928516535,1.20853929938793,0.21796253069775143,5.767019433346446,9.338353732824682e-07,19.250483327613466,13.883965674122043
Wfdc17,1.0959345854488055e-12,96.72706960389374,-3.061766314698942,0.44503060573492503,-7.03452789977802,5.059792989193954e-10,27.539413613993418,21.40452535870446
Mmp12,8.270813937230392e-05,28.064607865057262,1.9433944448164477,0.5029099590710786,3.912842737230276,0.007316946413691127,9.400192540314437,4.917562194642509
Ms4a6b,3.067771920943422e-05,97.02543300724436,-1.100825925376224,0.2659813705483428,-4.1580591250400945,0.0033325928205895673,10.391973925511778,5.704004653159147
Tmem88,9.27825947032443e-05,2.7508574462871183,6.43662073544278,1.658951071880044,3.899832521734934,0.008063353259680772,9.285251492840256,4.820425771801835
H2-Oa,5.274799455118706e-06,152.599475667374,0.928569417020922,0.20877944580560542,4.522534586827466,0.0006958025638386051,12.152569897311821,7.270444610518233
Fgr,0.0004098688557449725,268.337587822249,-0.581032636387492,0.16492866836164502,-3.530459536254546,0.026100872736104414,7.799673313469985,3.6457865270476124
Ppp2ca,1.0582208711121896e-06,124.32189722425919,0.9341026403112955,0.1929201798620368,4.86769220809947,0.00016117685721455142,13.758921483450138,8.733008303864837
