,wt_naive_0,wt_naive_1,wt_naive_2,wt_naive_3,ko_naive_0,ko_naive_1,ko_naive_2,ko_naive_3,wt_pathogenic_0,wt_pathogenic_1,wt_pathogenic_2,wt_pathogenic_3,ko_pathogenic_0,ko_pathogenic_1,ko_pathogenic_2,ko_pathogenic_3
Sox10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm10863,5.0,3.0,2.0,1.0,5.0,1.0,1.0,0.0,10.0,6.0,13.0,8.0,1.0,1.0,5.0,8.0
Pick1,1.0,2.0,3.0,4.0,6.0,2.0,5.0,2.0,13.0,13.0,17.0,9.0,15.0,9.0,7.0,4.0
Baiap2l2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pla2g6,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,6.0,6.0,5.0,6.0,3.0,3.0
Gm20420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maff,2.0,8.0,3.0,5.0,3.0,0.0,5.0,2.0,14.0,9.0,19.0,19.0,32.0,28.0,35.0,38.0
Tmem184b,27.0,20.0,28.0,9.0,15.0,19.0,16.0,9.0,132.0,101.0,94.0,92.0,34.0,56.0,63.0,48.0
Csnk1e,20.0,17.0,16.0,22.0,18.0,10.0,12.0,15.0,80.0,65.0,67.0,70.0,38.0,43.0,28.0,41.0
Gm16059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kcnj4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Kdelr3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ddx17,71.0,68.0,87.0,64.0,78.0,64.0,73.0,61.0,323.0,354.0,267.0,327.0,177.0,169.0,193.0,166.0
Dmc1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0
Fam227a,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0
Cby1,0.0,6.0,3.0,2.0,3.0,4.0,2.0,4.0,12.0,8.0,13.0,7.0,2.0,4.0,2.0,8.0
Tomm22,69.0,49.0,41.0,38.0,54.0,41.0,43.0,50.0,209.0,180.0,251.0,182.0,124.0,132.0,115.0,131.0
Josd1,7.0,7.0,14.0,11.0,9.0,10.0,7.0,4.0,25.0,26.0,33.0,36.0,27.0,21.0,30.0,29.0
Gtpbp1,21.0,25.0,24.0,22.0,19.0,19.0,9.0,13.0,76.0,71.0,84.0,77.0,57.0,57.0,36.0,54.0
Sun2,16.0,16.0,28.0,11.0,20.0,10.0,22.0,15.0,61.0,56.0,56.0,62.0,66.0,64.0,56.0,60.0
Gm16575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
Gm16576,2.0,3.0,4.0,1.0,5.0,0.0,1.0,1.0,10.0,11.0,9.0,14.0,5.0,7.0,8.0,5.0
Dnal4,3.0,4.0,3.0,2.0,0.0,3.0,3.0,4.0,16.0,14.0,14.0,14.0,9.0,12.0,5.0,7.0
Nptxr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
Cbx6,6.0,7.0,7.0,5.0,3.0,7.0,4.0,8.0,22.0,31.0,22.0,18.0,10.0,13.0,16.0,7.0
Gm10856,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
AC113595.1,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,4.0,9.0,12.0,2.0,0.0,2.0,1.0
Apobec3,164.0,152.0,155.0,162.0,170.0,116.0,154.0,146.0,553.0,590.0,573.0,632.0,311.0,250.0,303.0,290.0
Cbx7,3.0,8.0,13.0,6.0,7.0,6.0,8.0,6.0,20.0,15.0,20.0,20.0,6.0,12.0,9.0,15.0
Pdgfb,6.0,11.0,7.0,5.0,4.0,8.0,3.0,6.0,47.0,34.0,24.0,24.0,26.0,15.0,23.0,14.0
Gm41361,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0
Rpl3,863.0,833.0,931.0,764.0,700.0,724.0,680.0,655.0,2736.0,2738.0,3039.0,2653.0,2062.0,2048.0,1910.0,2027.0
Syngr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tab1,6.0,5.0,3.0,8.0,10.0,5.0,5.0,2.0,29.0,24.0,20.0,31.0,25.0,18.0,15.0,15.0
Mgat3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mief1,3.0,13.0,17.0,7.0,6.0,8.0,9.0,7.0,43.0,32.0,38.0,47.0,23.0,22.0,33.0,16.0
Atf4,28.0,31.0,51.0,32.0,54.0,41.0,45.0,46.0,154.0,126.0,126.0,112.0,152.0,133.0,162.0,181.0
Rps19bp1,13.0,10.0,6.0,10.0,8.0,8.0,12.0,16.0,31.0,28.0,37.0,36.0,27.0,22.0,18.0,35.0
Cacna1i,0.0,1.0,3.0,3.0,2.0,0.0,3.0,0.0,5.0,1.0,4.0,4.0,1.0,0.0,1.0,1.0
Enthd1,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,4.0,1.0,2.0
Grap2,31.0,86.0,51.0,29.0,86.0,55.0,54.0,54.0,199.0,170.0,239.0,221.0,127.0,110.0,103.0,88.0
Fam83f,3.0,0.0,5.0,0.0,1.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,5.0,3.0,2.0
A430088P11Rik,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tnrc6b,104.0,123.0,151.0,140.0,142.0,104.0,115.0,113.0,435.0,449.0,459.0,504.0,269.0,300.0,292.0,306.0
Gm49512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adsl,3.0,6.0,11.0,7.0,10.0,8.0,7.0,11.0,29.0,26.0,25.0,40.0,16.0,20.0,12.0,29.0
Sgsm3,0.0,3.0,3.0,5.0,5.0,2.0,3.0,2.0,22.0,16.0,14.0,13.0,21.0,12.0,16.0,24.0
Gm31462,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrtfa,106.0,147.0,141.0,128.0,98.0,56.0,73.0,72.0,674.0,621.0,539.0,680.0,319.0,274.0,312.0,325.0
4930483J18Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8430426J06Rik,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0
Slc25a17,12.0,8.0,16.0,9.0,10.0,13.0,11.0,16.0,52.0,43.0,51.0,38.0,27.0,44.0,25.0,34.0
St13,41.0,38.0,34.0,33.0,47.0,47.0,32.0,31.0,177.0,173.0,171.0,190.0,104.0,98.0,103.0,98.0
Xpnpep3,10.0,10.0,14.0,9.0,18.0,3.0,3.0,9.0,34.0,39.0,37.0,39.0,23.0,28.0,23.0,25.0
Dnajb7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm17025,1.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0
Rbx1,93.0,118.0,99.0,91.0,124.0,95.0,77.0,89.0,375.0,371.0,380.0,340.0,231.0,235.0,220.0,228.0
Ep300,47.0,53.0,44.0,41.0,59.0,44.0,52.0,44.0,257.0,236.0,272.0,296.0,144.0,145.0,133.0,144.0
L3mbtl2,7.0,4.0,9.0,2.0,3.0,6.0,2.0,4.0,19.0,17.0,20.0,23.0,10.0,13.0,10.0,12.0
Chadl,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Rangap1,15.0,17.0,13.0,6.0,10.0,16.0,9.0,12.0,83.0,56.0,71.0,79.0,50.0,36.0,38.0,45.0
Zc3h7b,5.0,11.0,8.0,8.0,7.0,8.0,8.0,6.0,58.0,46.0,38.0,47.0,19.0,13.0,24.0,23.0
Gm17597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tef,10.0,3.0,10.0,8.0,4.0,5.0,9.0,12.0,22.0,25.0,15.0,21.0,14.0,14.0,13.0,9.0
Tob2,18.0,31.0,22.0,14.0,22.0,17.0,18.0,12.0,111.0,97.0,99.0,99.0,63.0,76.0,70.0,80.0
Gm49476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phf5a,21.0,25.0,24.0,24.0,27.0,22.0,24.0,22.0,84.0,95.0,116.0,90.0,49.0,63.0,67.0,57.0
Aco2,20.0,22.0,24.0,34.0,25.0,20.0,21.0,27.0,138.0,121.0,129.0,116.0,70.0,71.0,71.0,65.0
Polr3h,4.0,6.0,2.0,4.0,4.0,4.0,7.0,2.0,27.0,16.0,14.0,18.0,15.0,10.0,11.0,14.0
Csdc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Pmm1,5.0,2.0,1.0,4.0,2.0,4.0,2.0,4.0,17.0,9.0,19.0,20.0,8.0,9.0,10.0,9.0
Xrcc6,7.0,9.0,8.0,10.0,8.0,9.0,4.0,10.0,34.0,33.0,31.0,29.0,6.0,5.0,27.0,13.0
Desi1,10.0,17.0,12.0,4.0,11.0,8.0,7.0,13.0,48.0,30.0,43.0,46.0,23.0,15.0,18.0,25.0
Snu13,52.0,47.0,52.0,34.0,42.0,51.0,44.0,40.0,180.0,199.0,196.0,186.0,155.0,125.0,113.0,115.0
Mei1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
